Episode,SeriesNumber,Title,FirstAirDate,USViewers
1,52,No Sanctuary,10-12-2014,172
2,53,Strangers,10-19-2014,151 
3,54,Four Walls and a Roof,10-26-2014,138
4,55,Slabtown,11-02-2014,145
7,56,Self Help,11-09-2014,135
6,57,Consumed,11-16-2014,141
7,58,Crossed,11-23-2014,133
8,59,Coda,11-30-2014,148
9,60,What Happened and What's Going On,02-08-2015,156
10,61,Them,02-15-2015,122
11,62,The Distance,02-22-2015,134
12,63,Remember,03-01-2015,144
13,64,Forget,03-08-2015,153
14,65,Spend,03-15-2015,178
15,66,Try,03-22-2015,137
16,67,Conquer,03-29-2015,157